'perfect' gold bar;lingotto d'oro "perfetto".
Square sandwich;Panino quadrato
Staff of armadyl;Bastone di Armadyl
Staff;Personale
Spring sq'irkjuice;Succo di primavera
Square stone;Pietra quadrata
Sraracha;Sraracha
Spring garden;Giardino primaverile
Square shield;Scudo quadrato
Staff of air;Bastone dell'aria
Staff of balance;Bastone dell'equilibrio
Staff of bob the cat;Staff di Bob il gatto
Stained glass;Vetrata
Staff of water;Bastone dell'acqua
Staff of light;Bastone di luce
Stake;Palo
Staff of earth;Bastone della terra
Stained journal;Diario macchiato
Staff of the dead;Bastone dei morti
Staff of fire;Bastone di fuoco
Stamina mix(1);Mix di resistenza(1)
Stale baguette;Baguette stantia
Stamina potion(3);Pozione di resistenza(3)
Stamina mix(2);Mix di resistenza(2)
Star bauble;Pallina di stelle
Stamina potion(4);Pozione di resistenza(4)
Star amulet;Amuleto della stella
Stale bread;Pane raffermo
Stamina potion(1);Pozione di resistenza(1)
Stamina potion(2);Pozione di resistenza(2)
Star flower;Fiore stellato
Starter staff;Personale titolare
Starter sword;Spada iniziale
Star-face;Faccia da stella
Starjump;Salto stellare
Starter bow;Arco di partenza
Star fragment;Frammento di stella
Stash units (easy);Unità di scorta (facile)
Stash units (beginner);Unità di scorta (principiante)
Stardust;Polvere di stelle
Statius's full helm;L'intero timone di Stazio
Steak sandwich;Panino con bistecca
Stash units (master);Unità di scorta (master)
Statuette;Statuetta
Stash units (medium);Unità di scorta (medie)
Statius's platebody;Il corpo piatto di Stazio
Stash units (hard);Unità di scorta (difficile)
Statius's platelegs;Le gambe piatte di Stazio
Statius's warhammer;Il martello da guerra di Stazio
Stash units (elite);Unità di riserva (élite)
Steam staff upgrade kit;Kit di aggiornamento dello staff di Steam
Steam battlestaff;Bastone da battaglia di Steam
Steel arrow(p++);Freccia d'acciaio(p++)
Steel arrow(p+);Freccia in acciaio(p+)
Steel arrow;Freccia d'acciaio
Steel 2h sword;Spada in acciaio 2h
Steel arrow(p);Freccia in acciaio(p)
Steam rune;Runa del vapore
Steel axe;Ascia d'acciaio
Steel arrowtips;Punte di freccia in acciaio
Steel bolts (p+);Bulloni in acciaio (p+)
Steel bolts (p++);Bulloni in acciaio (p++)
Steel axe head;Testa d'ascia in acciaio
Steel bar;Barra d'acciaio
Steel battleaxe;Ascia da battaglia in acciaio
Steel brutal;Brutale acciaio
Steel bolts (p);Bulloni in acciaio (p)
Steel boots;Stivali in acciaio
Steel bolts;Bulloni in acciaio
Steel bolts (unf);Bulloni in acciaio (unf)
Steel dagger(p);Pugnale d'acciaio(p)
Steel crossbow;Balestra in acciaio
Steel coffin;Bara d'acciaio
Steel dagger(p+);Pugnale d'acciaio(p+)
Steel claws;Artigli d'acciaio
Steel dagger;Pugnale d'acciaio
Steel chainbody;Corpo catena in acciaio
Steel cage;Gabbia in acciaio
Steel candlesticks;Candelieri in acciaio
Steel crossbow (u);Balestra in acciaio (u)
Steel dart tip;Punta del dardo in acciaio
Steel defender (l);Difensore in acciaio (l)
Steel dagger(p++);Pugnale d'acciaio(p++)
Steel defender;Difensore d'acciaio
Steel dart(p);Dardo d'acciaio(p)
Steel defender (broken);Difensore d'acciaio (rotto)
Steel dart;Dardo d'acciaio
Steel dragon;Drago d'acciaio
Steel dart(p++);Dardo d'acciaio(p++)
Steel dart(p+);Dardo in acciaio(p+)
Steel fire arrow;Freccia di fuoco in acciaio
Steel full helm (g);Timone intero in acciaio (g)
Steel gloves;Guanti d'acciaio
Steel full helm (t);Timone intero in acciaio (t)
Steel framed bench;Panca con struttura in acciaio
Steel full helm;Timone intero in acciaio
Steel gauntlets;Guanti d'acciaio
Steel dragon mask;Maschera del drago d'acciaio
Steel gold-trimmed set (lg);Set in acciaio con finiture dorate (lg)
Steel fire arrow (lit);Freccia di fuoco in acciaio (accesa)
Steel hasta(p);Hasta d'acciaio(p)
Steel heraldic helm;Elmo araldico in acciaio
Steel halberd;Alabarda in acciaio
Steel hasta(kp);Hasta in acciaio(kp)
Steel hasta;Hasta d'acciaio
Steel javelin;Giavellotto in acciaio
Steel gold-trimmed set (sk);Set in acciaio con finiture dorate (sk)
Steel hasta(p+);Hasta d'acciaio(p+)
Steel hasta(p++);Hasta d'acciaio(p++)
Steel javelin heads;Teste di giavellotto in acciaio
Steel javelin(p);Giavellotto d'acciaio(p)
Steel key black;Chiave in acciaio nera
Steel key purple;Chiave in acciaio viola
Steel key brown;Chiave in acciaio marrone
Steel key ring;Portachiavi in ​​acciaio
Steel javelin(p+);Giavellotto d'acciaio(p+)
Steel javelin(p++);Giavellotto d'acciaio(p++)
Steel key;Chiave in acciaio
Steel key red;Chiave in acciaio rossa
Steel key crimson;Chiave in acciaio cremisi
Steel kiteshield;Scudo da aquilone in acciaio
Steel knife(p);Coltello in acciaio(p)
Steel locks;Serrature in acciaio
Steel longsword;Spada lunga in acciaio
Steel knife(p++);Coltello in acciaio(p++)
Steel limbs;Flettenti in acciaio
Steel kiteshield (t);Scudo per kite in acciaio (t)
Steel knife(p+);Coltello in acciaio(p+)
Steel kiteshield (g);Scudo per kite in acciaio (g)
Steel knife;Coltello in acciaio
Steel mace;Mazza d'acciaio
Steel platebody (t);Corpo in lamiera d'acciaio (t)
Steel pick head;Testa del piccone in acciaio
Steel pickaxe;Piccone in acciaio
Steel nails;Chiodi in acciaio
Steel platelegs;Gambe in lamiera d'acciaio
Steel med helm;Elmo medico d'acciaio
Steel platebody;Corpo in lamiera d'acciaio
Steel platebody (g);Corpo in lamiera d'acciaio (g)
Steel platelegs (g);Gambe in lamiera d'acciaio (g)
Steel range;Gamma in acciaio
Steel plateskirt;Gonna in lamiera d'acciaio
Steel scimitar;Scimitarra d'acciaio
Steel plateskirt (g);Gonna in lamiera d'acciaio (g)
Steel plateskirt (t);Gonna in lamiera d'acciaio (t)
Steel spear;Lancia in acciaio
Steel set (sk);Set in acciaio (sk)
Steel set (lg);Set in acciaio (lg)
Steel spear(kp);Lancia d'acciaio (kp)
Steel platelegs (t);Gambe in lamiera d'acciaio (t)
Steel spear(p);Lancia d'acciaio(p)
Steel spear(p+);Lancia d'acciaio(p+)
Steel thrownaxe;Ascia da lancio in acciaio
Steel spear(p++);Lancia d'acciaio(p++)
Steel torches;Torce in acciaio
Steel studs;Borchie in acciaio
Steel sword;Spada d'acciaio
Steel sq shield;Scudo quadrato in acciaio
Steel trimmed set (sk);Set con finiture in acciaio (sk)
Steel trimmed set (lg);Set con finiture in acciaio (lg)
Sticky red goop;Una sostanza appiccicosa rossa appiccicosa
Stolen circlet;Cerchietto rubato
Steel warhammer;Martello da guerra in acciaio
Stick;Bastone
Stodgy mattress;Materasso pesante
Stew;Stufato
Steel-plated door;Porta placcata in acciaio
Stethoscope;Stetoscopio
Stinkhorn mushroom;Fungo puzzolente
Stolen family heirloom;Cimelio di famiglia rubato
Stone ball;Palla di pietra
Stolen jewelry box;Portagioie rubato
Stone right arm;Braccio destro in pietra
Stolen pendant;Ciondolo rubato
Stolen garnet ring;Anello con granato rubato
Stone left arm;Braccio sinistro in pietra
Stone head;Testa di pietra
Stone left leg;Gamba sinistra di pietra
Stone bowl;Ciotola di pietra
Stone fireplace;Camino in pietra
Stony basalt;Basalto pietroso
Stone scarab;Scarabeo di pietra
Stone right leg;Gamba destra di pietra
Stone-plaque;Targa in pietra
Storeroom key;Chiave del ripostiglio
Stone wall;Muro di pietra
Stone seal;Sigillo di pietra
Stone tablet;Tavoletta di pietra
Stool;Sgabello
Stone statuette;Statuetta di pietra
Strange box;Scatola strana
Strange book;Libro strano
Strange potion;Strana pozione
Strange old lockpick (full);Strano vecchio grimaldello (completo)
Strange hallowed tome;Strano tomo sacro
Strange object;Oggetto strano
Strange device;Dispositivo strano
Strange implement;Strano attrezzo
Strange old lockpick;Strano vecchio grimaldello
Strange fruit;Frutto strano
Strawberries(5);Fragole(5)
Strawberry seed;Seme di fragola
Strawberries(2);Fragole(2)
Strawberry;Fragola
Strength amulet (t);Amuleto della forza (t)
Strange skull;Strano teschio
Strawberries(3);Fragole(3)
Strawberries(1);Fragole(1)
Strength cape;Mantello di forza
Strawberries(4);Fragole(4)
Strength potion(1);Pozione di forza(1)
Strength mix(1);Miscela di forza(1)
Strength potion(3);Pozione di forza(3)
Strength cape(t);Mantello di forza(t)
Strength mix(2);Miscela di forza(2)
Strength potion(4);Pozione di forza(4)
Strip of cloth;Striscia di stoffa
Stretched hide;Pelle stirata
Strength hood;Cappuccio di forza
Strength potion(2);Pozione di forza(2)
Studded chaps;Pantaloni borchiati
Stripy pirate shirt;Camicia da pirata a righe
Strung rabbit foot;Zampa di coniglio infilata
Studded body (g);Corpo borchiato (g)
Stronghold notes;Note della Fortezza
Stripy feather;Piuma a righe
Studded body;Corpo borchiato
Studded chaps (g);Ghette con borchie (g)
Studded chaps (t);Ghette borchiate (t)
Studded body (t);Corpo chiodato (t)
Stuffed hydra heads;Teste di idra ripiene
Stuffed abyssal head;Testa abissale ripiena
Stuffed big swordfish;Pesce spada grosso ripieno
Stuffed basilisk head;Testa di basilisco farcita
Stuffed big shark;Grande squalo ripieno
Study;Studio
Stuffed big harpoonfish;Grosso pesce fiocina ripieno
Stuffed cockatrice head;Testa di cockatrice ripiena
Stuffed big bass;Big Bass farcito
Stuffed crawling hand;Mano strisciante ripiena
Stuffed snake;Serpente impagliato
Sturdy boots;Stivali robusti
Stuffed kbd heads;Teste kbd ripiene
Stuffed kq head;Testa ripiena di kq
Suit of armour;Armatura
Stuffed kq head (tattered);Testa kq ripiena (stracciata)
Stuffed monkey;Scimmia ripiena
Stuffed kurask head;Testa di kurask ripiena
Sulliuscep cap;Cappello Sulliuscep
Sulphur;Zolfo
Summer pie;Torta estiva
Sulphurous fertiliser;Concime solforoso
Summer sq'irkjuice;Succo estivo di sq'irk
Super antifire mix(1);Miscela super antincendio(1)
Sulphur lizard;Lucertola di zolfo
Sulphuric broline;Brolina solforica
Summer sq'irk;Sq'irk estivo
Summer garden;Giardino estivo
Sunflower;Girasole
Super antifire mix(2);Miscela super antincendio(2)
Super antifire potion(3);Pozione super antifuoco(3)
Super attack(1);Super attacco(1)
Super antifire potion(1);Pozione super antifuoco(1)
Super attack(4);Superattacco(4)
Super combat potion(1);Pozione super combattiva(1)
Super antifire potion(4);Pozione super antifuoco(4)
Super antifire potion(2);Pozione super antifuoco(2)
Super attack(3);Superattacco(3)
Super combat potion(2);Pozione super combattiva(2)
Super attack(2);Super attacco(2)
Super combat potion(4);Pozione super combattiva(4)
Super def. mix(2);Super def. mescolare(2)
Super combat potion(3);Pozione super combattiva(3)
Super energy mix(2);Super mix energetico(2)
Super defence(1);Superdifesa(1)
Super defence(4);Super difesa(4)
Super energy mix(1);Super mix energetico(1)
Super def. mix(1);Super def. mescolare(1)
Super defence(2);Super difesa(2)
Super defence(3);Super difesa(3)
Super energy(2);Superenergia(2)
Super magic potion (4);Pozione super magica (4)
Super energy(3);Superenergia(3)
Super magic potion (1);Pozione super magica (1)
Super potion set;Set di super pozioni
Super magic potion (3);Pozione super magica (3)
Super magic potion (2);Pozione super magica (2)
Super energy(4);Superenergia(4)
Super energy(1);Superenergia(1)
Super kebab;Kebab eccezionale
Super ranging (2);Super range (2)
Super restore(2);Ripristino eccellente(2)
Super restore mix(2);Mix di super ripristino(2)
Super restore mix(1);Mix di super ripristino(1)
Super restore(4);Ripristino eccellente(4)
Super ranging (4);Super range (4)
Super ranging (3);Super range (3)
Super restore(1);Ripristino eccellente(1)
Super restore(3);Ripristino eccellente(3)
Super ranging (1);Super range (1)
Super str. mix(2);Superstr. mescolare(2)
Superantipoison(2);Superantiveleno(2)
Super strength(4);Super forza(4)
Super strength(1);Super forza(1)
Super strength(3);Super forza(3)
Super strength(2);Super forza(2)
Superantipoison(1);Superantiveleno(1)
Super str. mix(1);Superstr. mescolare(1)
Superantipoison(3);Superantiveleno(3)
Superantipoison(4);Superantiveleno(4)
Superattack mix(1);Mix di superattacco(1)
Superior garden;Giardino superiore
Suqah hide;Suqah nascosto
Supercompost;Supercompost
Superattack mix(2);Mix di superattacco(2)
Superior dragon bonemeal;Farina di ossa di drago superiore
Supply crate;Cassa di rifornimento
Suphi fish (1);Pesce Suphi (1)
Superior dragon bones;Ossa di drago superiori
Superior mining gloves;Guanti da miniera di qualità superiore
Swamp cave bug;Insetto della caverna della palude
Swamp cave slime;Melma delle caverne palustri
Suqah monster;Mostro di Suqah
Swamp paste;Pasta di palude
Sven's last map;L'ultima mappa di Sven
Swamp lizard;Lucertola di palude
Survival token;Gettone di sopravvivenza
Surok's letter;La lettera di Surok
Suqah leather;Pelle Suqah
Suqah tooth;Dente Suqah
Swampbark gauntlets;Guanti di corteccia di palude
Swamp weed;Erbaccia di palude
Swamp toad;Rospo di palude
Swarm;Sciame
Swampbark body;Corpo di corteccia di palude
Swampbark helm;Elmo di corteccia di palude
Swamp tar;Catrame di palude
Swampbark legs;Gambe di corteccia di palude
Swamp wallbeast;Wallbestia della palude
Swampbark boots;Stivali di corteccia di palude
Sword pommel;Pomo della spada
Tackle box;Scatola degli attrezzi
Sweetcorn;Mais dolce
Swordfish;Pesce spada
Symptoms list;Elenco dei sintomi
Sweetcorn seed;Seme di mais dolce
Sword fragment;Frammento di spada
Symbol;Simbolo
Sweetgrubs;Sweetgrubs
Swift blade;Lama veloce
Tai bwo wannai teleport;Teletrasporto Tai Bwo Wantai
Tangled toads' legs;Zampe di rospi aggrovigliate
Tall fancy hedge;Siepe alta e fantasia
Tacks;Puntine
Tangle vine;Vite aggrovigliata
Tangled toad's legs;Gambe aggrovigliate del rospo
Tangleroot;Tangleroot
Tall box hedge;Siepe di bosso alta
Tall plant;Pianta alta
Tan cavalier;Cavaliere marrone chiaro
Tanzanite helm;Elmo di tanzanite
Tanzanite mutagen;Mutageno della tanzanite
Tarn's diary;Il diario di Tarn
Target teleport scroll;Scorrimento del teletrasporto bersaglio
Tanzanite helm (uncharged);Elmo di tanzanite (scaricato)
Target teleport;Teletrasporto bersaglio
Tarromin;Tarromin
Tanzanite fang;Zanna di tanzanite
Tarnished key;Chiave appannata
Tankard;Boccale
Tarromin potion (unf);Pozione di Tarromin (unf)
Tattered book;Libro sbrindellato
Tattered scroll;Pergamena sbrindellata
Tattered eye patch;Benda sull'occhio sbrindellata
Tarromin seed;Seme di Tarromin
Tarromin tar;Tarromin catrame
Tatty graahk fur;Pelliccia graahk logora
Tattered temple page;Pagina del tempio sbrindellata
Tattered sun page;Pagina del sole sbrindellata
Tattered moon page;Pagina lunare sbrindellata
Tatty larupia fur;Pelliccia di larupia logora
Te salt;Ti sale
Taverley teleport;Teletrasporto di Taverley
Tchiki monkey nuts;Noci di scimmia Tchiki
Tea flask;Pallone da tè
Tatty kyatt fur;Pelliccia kyatt malandata
Tchiki nut paste;Pasta di noci Tchiki
Tea leaves;Foglie di tè
Tatty note;Nota malandata
Teacher wand;Bacchetta dell'insegnante
Teak cabinet;Mobile in teak
Teak bookcase;Libreria in teak
Teak altar;Altare in teak
Teak chest;Cassapanca in teak
Teak chair;Sedia in teak
Teak armchair;Poltroncina in teak
Teak armour case;Custodia per armatura in teak
Teak bird house;Casetta per uccelli in teak
Teak bed;Letto in teak
Teak cape rack;Porta mantella in teak
Teak clock;Orologio in teak
Teak demon lectern;Leggio demoniaco in teak
Teak dresser;Comò in teak
Teak costume box;Scatola per costumi in teak
Teak drawers;Cassetti in teak
Teak eagle lectern;Leggio aquila in teak
Teak decoration;Decorazione in teak
Teak drawer;Cassetto in teak
Teak cupboard;Armadio in teak
Teak dining bench;Panca da pranzo in teak
Teak lever;Leva in teak
Teak logs;Tronchi di teak
Teak ladder;Scaletta in teak
Teak feeder;Alimentatore in teak
Teak larder;Dispensa in teak
Teak garden bench;Panca da giardino in teak
Teak magic wardrobe;Armadio magico in teak
Teak house;Casa in teak
Teak fancy dress box;Scatola per costumi in teak
Teak kitchen table;Tavolo da cucina in teak
Teak pyre logs;Tronchi di pira in teak
Teak scratching post;Tiragraffi in teak
Teak seed;Seme di teak
Teak seedling (w);Piantina di teak (w)
Teak seedling;Piantina di teak
Teak plank;Plancia in teak
Teak portal;Portale in teak
Teak prize chest;Cassa premio in teak
Teak shelves;Ripiani in teak
Teak sapling;Alberello di teak
Teak shelves 1;Ripiani in teak 1
Teak throne;Trono in teak
Teak staircase;Scala in teak
Teak table;Tavolo in teak
Teak shelves 2;Ripiani in teak 2
Teak toy box;Scatola per giocattoli in teak
Teak wardrobe;Armadio in teak
Teak stock;Calcio in teak
Teak treasure chest;Scrigno del tesoro in teak
Teak telescope;Telescopio in teak
Team cape x;Mantello della squadra x
Team cape zero;Mantello della squadra zero
Team cape i;Mantello della squadra i
Teal robe top;Parte superiore della vestaglia verde acqua
Teal boots;Stivali verde acqua
Teal robe bottoms;Fondo della vestaglia verde acqua
Teal hat;Cappello verde acqua
Teal gloves;Guanti verde acqua
Team-10 cape;Mantello della squadra 10
Team-1 cape;Mantello della squadra 1
Team-17 cape;Mantello della squadra 17
Team-18 cape;Mantello della squadra 18
Team-19 cape;Mantello della squadra 19
Team-13 cape;Mantello della squadra 13
Team-16 cape;Mantello della squadra 16
Team-15 cape;Mantello della squadra 15
Team-11 cape;Mantello della squadra 11
Team-14 cape;Mantello della squadra 14
Team-12 cape;Mantello della squadra 12
Team-2 cape;Mantello della squadra 2
Team-28 cape;Mantello della squadra 28
Team-23 cape;Mantello della squadra 23
Team-22 cape;Mantello della squadra 22
Team-24 cape;Mantello della squadra 24
Team-25 cape;Mantello della squadra 25
Team-26 cape;Mantello della squadra 26
Team-27 cape;Mantello della squadra 27
Team-29 cape;Mantello della squadra-29
Team-20 cape;Mantello della squadra 20
Team-21 cape;Mantello della squadra 21
Team-33 cape;Mantello della squadra 33
Team-36 cape;Mantello della squadra 36
Team-31 cape;Mantello della squadra 31
Team-32 cape;Mantello della squadra 32
Team-30 cape;Mantello della squadra 30
Team-35 cape;Mantello della squadra 35
Team-37 cape;Mantello del Team-37
Team-3 cape;Mantello della squadra 3
Team-34 cape;Mantello della squadra 34
Team-38 cape;Mantello della squadra 38
Team-39 cape;Mantello della squadra 39
Team-41 cape;Mantello della squadra 41
Team-46 cape;Mantello della squadra 46
Team-42 cape;Mantello della squadra 42
Team-40 cape;Mantello della squadra 40
Team-43 cape;Mantello della squadra 43
Team-47 cape;Mantello del Team-47
Team-4 cape;Mantello della squadra 4
Team-44 cape;Mantello della squadra 44
Team-45 cape;Mantello della squadra 45
Team-6 cape;Mantello della squadra 6
Team-5 cape;Mantello della squadra 5
Teapot;Teiera
