'perfect' gold bar;'perfecte' goudbaar
Team cape x;Teamcape x
Team cape zero;Teamcape nul
Team cape i;Teamcape i
Teal robe top;Blauwgroen gewaadtopje
Teal boots;Blauwgroene laarzen
Teal robe bottoms;Blauwgroen gewaadbodems
Teal hat;Blauwgroene hoed
Teal gloves;Blauwgroene handschoenen
Team-10 cape;Team-10-cape
Team-1 cape;Team-1 cape
Team-17 cape;Team-17 cape
Team-18 cape;Team-18 cape
Team-19 cape;Team-19-cape
Team-13 cape;Team-13 cape
Team-16 cape;Team-16 cape
Team-15 cape;Team-15-cape
Team-11 cape;Team-11-cape
Team-14 cape;Team-14 cape
Team-12 cape;Team-12-cape
Team-2 cape;Team-2-cape
Team-28 cape;Team-28 cape
Team-23 cape;Team-23 cape
Team-22 cape;Team-22-cape
Team-24 cape;Team-24-cape
Team-25 cape;Team-25-cape
Team-26 cape;Team-26 cape
Team-27 cape;Team-27 cape
Team-29 cape;Team-29 cape
Team-20 cape;Team-20-cape
Team-21 cape;Team-21 cape
Team-33 cape;Team-33 cape
Team-36 cape;Team-36 cape
Team-31 cape;Team-31 cape
Team-32 cape;Team-32 cape
Team-30 cape;Team-30-cape
Team-35 cape;Team-35 cape
Team-37 cape;Team-37 cape
Team-3 cape;Team-3 cape
Team-34 cape;Team-34 cape
Team-38 cape;Team-38 cape
Team-39 cape;Team-39 cape
Team-41 cape;Team-41 cape
Team-46 cape;Team-46 cape
Team-42 cape;Team-42-cape
Team-40 cape;Team-40-cape
Team-43 cape;Team-43 cape
Team-47 cape;Team-47 cape
Team-4 cape;Team-4-cape
Team-44 cape;Team-44 cape
Team-45 cape;Team-45-cape
Team-6 cape;Team-6 cape
Team-5 cape;Team-5 cape
Teapot;Theepot
Team-9 cape;Team-9-cape
Team-7 cape;Team-7 cape
Team-50 cape;Team-50-cape
Team-49 cape;Team-49-cape
Team-48 cape;Team-48 cape
Team-8 cape;Team-8 cape
Teapot with leaves;Theepot met bladeren
Teasing stick;Plagen stok
Teddy;Teddy
Teleport crystal (1);Teleporteer kristal (1)
Technical plans;Technische plannen
Teleport card;Teleport kaart
Tektiny;Tektini
Teleport crystal;Teleporteer kristal
Tegid's soap;Tegids zeep
Tekton's journal;Tekton's dagboek
Telekinetic grab;Telekinetische grijper
Teleport trap;Teleport val
Temple coin;Tempel munt
Teleport crystal (4);Teleporteer kristal (4)
Temple library key;Sleutel van de tempelbibliotheek
Teleport crystal (3);Teleporteer kristal (3)
Temple key;Tempel sleutel
Teleport crystal (5);Teleport kristal (5)
Teleport crystal (2);Teleporteer kristal (2)
Teleport focus;Teleporteer focus
Teleport to house;Teleporteer naar huis
Terrorbird wing;Terrorbird-vleugel
Thatch spar dense;Rieten spar dicht
Thammaron's sceptre (u);De scepter van Thammaron (u)
Tenti pineapple;Tenti-ananas
Tephra;Tefra
Tetra;Tetra
Terror dog;Terreurhond
Tentacle pool;Tentakel zwembad
Thammaron's sceptre;De scepter van Thammaron
Thanksgiving dinner;Thanksgiving-diner
The desert;De woestijn
The great divide;De grote kloof
Thatch spar light;Rieten spar licht
The fisher's flute;De vissersfluit
Thatch spar med;Rieten spar med
The desert trout - ship's log;De woestijnforel - scheepslogboek
The living statues;De levende standbeelden
The shadow realm;Het schaduwrijk
The eight clans;De acht clans
The butcher;De slager
The spurned demon;De afgewezen demon
The turncloak;De turnmantel
Thieves' armband;Dievenarmband
The truth behind the myth (excerpt);De waarheid achter de mythe (fragment)
Thieving bag;Diefzak
The weeping;Het huilen
Thick dye;Dikke kleurstof
The sleeping seven;De slapende zeven
The wild hunt;De wilde jacht
The stuff;Het spul
Thieving cape(t);Stelende cape(t)
Thieving hood;Dievende kap
Thistle;Distel
Thin snail;Dunne slak
Thread;Draad
Thin snail meat;Dun slakkenvlees
Thieving tome;Dieven boekdeel
Thorny hedge;Doornige haag
Thieving cape;Dieven cape
Three barrels;Drie vaten
Tiger toy;Tijger speelgoed
Tiles;Tegels
Throwing rope;Touw gooien
Tiara;Tiara
Time bubble;Tijd bubbel
Tile;Tegel
Tin;Tin
Tiara mould;Tiara-schimmel
Throne room;Troonzaal
Timber beam;Houten balk
Tin ore;Tin-erts
To-do list;To-do-lijst
Tiny net;Klein net
Toad's legs;Paddenpoten
Tiny tempor;Klein tempo
Tip jar;Fooienpot
Tin ore powder;Tinertspoeder
Tinderbox;Tondeldoos
Toad crunchies;Krokantjes van paddenstoelen
Toad batta;Pad batta
Toktz-mej-tal;Toktz-mej-tal
Toadflax;Paddenvlas
Tok-xil;Tok-xil
Tofu;Tofu
Toadflax seed;Paddenstoelenzaad
Toban's key;Tobans sleutel
Tokkul;Tokkul
Toktz-ket-xil;Toktz-ket-xil
Toban's gold;Tobans goud
Toadflax potion (unf);Toadflax-drankje (unf)
Tomato;Tomaat
Tomatoes(5);Tomaten(5)
Toktz-xil-ul;Toktz-xil-ul
Toktz-xil-ek;Toktz-xil-ek
Tomatoes(3);Tomaten(3)
Toktz-xil-ak;Toktz-xil-ak
Tomatoes(4);Tomaten(4)
Tomato seed;Tomatenzaad
Tomatoes(1);Tomaten(1)
Tomatoes(2);Tomaten(2)
Tome of experience (1);Boekdeel van ervaring (1)
Tome of fire;Boekdeel van vuur
Tome of the sun;Boekdeel van de zon
Tomberries;Tombessen
Tome of the temple;Boekdeel van de tempel
Tome of experience (3);Boekdeel van ervaring (3)
Tome of experience;Boekdeel van ervaring
Tome of fire (empty);Boekdeel van vuur (leeg)
Tome of the moon;Boekdeel van de maan
Tome of experience (2);Boekdeel van ervaring (2)
Tool store 5;Gereedschapsopslag 5
Top hat;Hoge hoed
Tool store 4;Gereedschapsopslag 4
Tome of water (empty);Waterdeel (leeg)
Tool store 3;Gereedschapsopslag 3
Toolkit;Gereedschapskist
Tome of water;Boekdeel van water
Tool store 2;Gereedschapsopslag 2
Tool store 1;Gereedschapsopslag 1
Tooth half of key;Tandhelft van sleutel
Topaz bolts;Topaas bouten
Topaz amulet (u);Topaas amulet (u)
Top hat & monocle;Hoge hoed en monocle
Topaz bolt tips;Topaas boutpunten
Topaz bracelet;Topaas armband
Top of sceptre;Bovenkant van scepter
Topaz amulet;Topaas amulet
Topaz bolts (e);Topaasbouten (e)
Topaz dragon bolts (e);Topaas drakenbouten (e)
Topaz dragon bolts;Topaas drakenbouten
Topaz ring;Topaas ring
Topiary bush;Vormsnoei struik
Torag's hammers 50;Torags hamers 50
Torag's hammers 25;Torags hamers 25
Topaz necklace;Topaas ketting
Topiary hedge;Vormsnoeihaag
Torag's hammers;Torags hamers
Torag's hammers 100;Torags hamers 100
Torag's armour set;Torag's pantserset
Torag's hammers 0;Torags hamers 0
Torag's helm 75;Torags roer 75
Torag's platebody 0;Torag's plaatlichaam 0
Torag's platebody;Torag's plaatlichaam
Torag's helm 25;Torags roer 25
Torag's platebody 100;Torag's platebody 100
Torag's helm;Torags roer
Torag's helm 50;Torags roer 50
Torag's helm 0;Torags roer 0
Torag's hammers 75;Torags hamers 75
Torag's helm 100;Torag's roer 100
Torag's platelegs 100;Torag's platelegs 100
Torag's platelegs 25;Torags platelegs 25
Torag's platelegs 50;Torags platelegs 50
Torag's platebody 25;Torag's plaatlichaam 25
Torag's platelegs 75;Torags platelegs 75
Torag's platebody 50;Torag's plaatlichaam 50
Torag's platebody 75;Torag's plaatlichaam 75
Torag's platelegs 0;Torag's platelegs 0
Torch;Fakkel
Torag's platelegs;Torag's platelegs
Torn page;Gescheurde pagina
Torn clue scroll (part 2);Gescheurde aanwijzingsrol (deel 2)
Torches;Fakkels
Torn clue scroll (part 3);Gescheurde aanwijzingsrol (deel 3)
Torn prayer scroll;Gescheurde gebedsrol
Tormented ornament kit;Gekwelde ornamentkit
Torn curtains;Gescheurde gordijnen
Tormented bracelet;Gekwelde armband
Tormented bracelet (or);Gekwelde armband (of)
Torn clue scroll (part 1);Gescheurde aanwijzingsrol (deel 1)
Torso;Torso
Torstol seed;Torstol-zaad
Tower key;Toren sleutel
Touch paper;Raak papier aan
Torstol;Torstol
Tortoise shell;Schildpadschild
Torstol potion (unf);Torstol-drankje (unf)
Totem;Totem
Torn robe;Gescheurd gewaad
Torture ornament kit;Martelornamentset
Toxic blowpipe (beta - dragon);Giftige blaaspijp (bèta - draak)
Toxic blowpipe (beta - rune);Giftige blaaspijp (bèta - rune)
Toxic blowpipe (empty);Giftige blaaspijp (leeg)
Toxic blowpipe;Giftige blaaspijp
Toxic blowpipe (beta - mithril);Giftige blaaspijp (bèta - mithril)
Toxic blowpipe (beta - steel);Giftige blaaspijp (bèta - staal)
Toxic blowpipe (beta - iron);Giftige blaaspijp (bèta - ijzer)
Toxic blowpipe (beta - black);Giftige blaaspijp (bèta - zwart)
Toxic blowpipe (beta - bronze);Giftige blaaspijp (bèta - brons)
Toxic blowpipe (beta - adamant);Giftige blaaspijp (bèta - onvermurwbaar)
Toy mouse;Speelgoedmuis
Toxic staff of the dead;Giftig personeel van de doden
Toy ship;Speelgoedschip
Toxic naphtha;Giftige nafta
Toxic staff (uncharged);Giftig personeel (ongeladen)
Toy cat;Speelgoed kat
Toxic powder;Giftig poeder
Toy doll;Speelgoed pop
Toy mouse (wound);Speelgoedmuis (wond)
Toy doll (wound);Speelgoedpop (wond)
Trailblazer axe;Baanbrekende bijl
Trailblazer banner;Baanbrekend spandoek
Toy soldier;Speelgoed soldaat
Trading sticks;Handelstokken
Tracking map;Volgkaart
Traiborn note;Traiborn-notitie
Trailblazer adamant trophy;Trailblazer onvermurwbare trofee
Trailblazer boots (t2);Trailblazer-laarzen (t2)
Toy soldier (wound);Speelgoedsoldaatje (wond)
Trailblazer boots (t1);Trailblazer-laarzen (t1)
Trailblazer harpoon;Pionier harpoen
Trailblazer hood (t3);Trailblazer-kap (t3)
Trailblazer bronze trophy;Baanbrekende bronzen trofee
Trailblazer hood (t2);Trailblazer-kap (t2)
Trailblazer graceful ornament kit;Trailblazer sierlijke ornamentkit
Trailblazer globe;Baanbrekende wereldbol
Trailblazer boots (t3);Trailblazer-laarzen (t3)
Trailblazer hood (t1);Trailblazer-kap (t1)
Trailblazer cane;Pionierstok
Trailblazer dragon trophy;Trailblazer drakentrofee
Trailblazer mithril trophy;Trailblazer mithril-trofee
Trailblazer relic hunter (t2) armour set;Trailblazer relikwiejager (t2) pantserset
Trailblazer rug;Baanbrekend vloerkleed
Trailblazer rune trophy;Trailblazer rune-trofee
Trailblazer relic hunter (t1) armour set;Trailblazer relikwiejager (t1) pantserset
Trailblazer relic hunter (t3) armour set;Trailblazer relikwiejager (t3) pantserset
Trailblazer steel trophy;Trailblazer stalen trofee
Trailblazer pickaxe;Pionier-houweel
Trailblazer teleport scroll;Trailblazer-teleportrol
Trailblazer iron trophy;Trailblazer ijzeren trofee
Trailblazer top (t3);Trailblazer-top (t3)
Training bow;Trainingsboog
Trailblazer top (t1);Trailblazer-top (t1)
Trailblazer tool ornament kit;Trailblazer gereedschapsversieringsset
Training arrows;Pijlen trainen
Trailblazer trousers (t3);Trailblazerbroek (t3)
Training manual;Handleiding voor trainingen
Trailblazer top (t2);Trailblazer-top (t2)
Trailblazer trousers (t1);Trailblazerbroek (t1)
Trailblazer trousers (t2);Trailblazerbroek (t2)
Translation book;Vertaal boek
Transportation incantations;Transportbezweringen
Transdimensional notes;Transdimensionale notities
Training shield;Trainingsschild
Training sword;Trainingszwaard
Translation;Vertaling
Translated notes;Vertaalde notities
Translation manual;Vertaalhandleiding
Translated note;Vertaalde notitie
Transvergence theory;Transvergentie theorie
Treasure hunt;Schattenjacht
Treasure scroll;Schatrol
Treasure flag;Schat vlag
Treasure stone;Schatsteen
Treasonous ring (i);Verraderlijke ring (i)
Treachery of royalty;Verraad van royalty's
Treasonous ring;Verraderlijke ring
Trapdoor;Valluik
Treasure room;Schatkamer
Treasure map;Schatkaart
Tree;Boom
Tri-jester scarf;Tri-nar sjaal
Tree top;Boom top
Tribal mask;Stammenmasker
Tree skirt;Boom rok
Treaty;Verdrag
Tri-jester hat;Tri-nar hoed
Triangle sandwich;Driehoeksandwich
Tree bauble;Boom snuisterij
Tree wizards' journal;Dagboek van boomtovenaars
Tristessa's tragedy;Tristessa's tragedie
Trident of the seas (e);Drietand van de zeeën (e)
Tribal top;Stammen topje
Trident of the seas;Drietand van de zeeën
Trident of the swamp;Drietand van het moeras
Trident of the swamp (e);Drietand van het moeras (e)
Trident of the seas (full);Drietand van de zeeën (vol)
Troll bone;Trol bot
Tristan bust;Buste van Tristan
Troll guard;Trollenbewaker
Trollheim teleport;Trollheim teleporteert
Trout;Forel
Trophy pedestal;Trofee voetstuk
Troll potion;Trollen drankje
Trolley;Karretje
Trouver parchment;Trouver-perkament
Trollweiss;Trollweiss
Troll thistle;Trol distel
Trousers;Broek
Tropical wagtail;Tropische kwikstaart
Tuna;Tonijn
Tuna potato;Tonijn aardappel
Truth serum;Waarheidsserum
Trowel;Troffel
Tuna and corn;Tonijn en maïs
Turquoise robe bottoms;Turkoois gewaadbroekje
Turquoise boots;Turkooise laarzen
Turquoise hat;Turquoise hoed
Turquoise robe top;Turkoois gewaadtopje
Turoth;Turoth
Twisted (+)(2);Gedraaid (+)(2)
Twisted (+)(4);Gedraaid (+)(4)
Turquoise slayer helmet (i);Turquoise slayerhelm (i)
Twisted (-)(2);Gedraaid (-)(2)
Twisted (+)(1);Gedraaid (+)(1)
Turquoise slayer helmet;Turquoise slayerhelm
Twigs;Twijgen
Twill accord;Twill akkoord
Twisted (-)(1);Gedraaid (-)(1)
Twisted (+)(3);Gedraaid (+)(3)
Twisted (-)(4);Gedraaid (-)(4)
Twisted adamant trophy;Gedraaide onvermurwbare trofee
Twisted ancestral robe top;Gedraaide voorouderlijke gewaadtop
Twisted boots (t1);Gedraaide laarzen (t1)
Twisted ancestral robe bottom;Gedraaide voorouderlijke gewaadonderkant
Twisted banner;Gedraaide banner
Twisted blueprints;Verdraaide blauwdrukken
Twisted (-)(3);Gedraaid (-)(3)
Twisted ancestral hat;Gedraaide voorouderlijke hoed
Twisted ancestral colour kit;Gedraaide voorouderlijke kleurenset
Twisted boots (t2);Gedraaide laarzen (t2)
Twisted coat (t3);Gedraaide jas (t3)
Twisted dragon trophy;Gedraaide drakentrofee
Twisted bow;Gedraaide boog
Twisted cane;Gedraaide stok
Twisted coat (t1);Gedraaide jas (t1)
Twisted boots (t3);Gedraaide laarzen (t3)
Twisted bronze trophy;Gedraaide bronzen trofee
Twisted buckler;Gedraaide beukelaar
Twisted coat (t2);Gedraaide jas (t2)
Twisted horns;Gedraaide hoorns
Twisted hat (t1);Gedraaide hoed (t1)
Twisted hat (t3);Gedraaide hoed (t3)
Twisted potion (1);Verdraaid drankje (1)
Twisted potion (2);Gedraaid drankje (2)
Twisted hat (t2);Gedraaide hoed (t2)
Twisted mithril trophy;Gedraaide mithriltrofee
Twisted potion (3);Gedraaid drankje (3)
Twisted potion (4);Verdraaid drankje (4)
Twisted iron trophy;Gedraaide ijzeren trofee
Twisted rune trophy;Gedraaide runentrofee
Twisted slayer helmet (i);Gedraaide slayerhelm (i)
Twisted relic hunter (t2) armour set;Gedraaide relikwiejager (t2) pantserset
Twisted steel trophy;Gedraaide stalen trofee
Twisted trousers (t1);Gedraaide broek (t1)
Twisted relic hunter (t1) armour set;Gedraaide relikwiejager (t1) pantserset
Twisted trousers (t2);Gedraaide broek (t2)
Twisted relic hunter (t3) armour set;Gedraaide relikwiejager (t3) pantserset
Twisted teleport scroll;Gedraaide teleportrol
Twisted slayer helmet;Gedraaide slayerhelm
Tyras helm;Tyras roer
Tzhaar air rune pack;Tzhaar lucht runepakket
Two barrels;Twee vaten
Tzhaar fire rune pack;Tzhaar vuurrunenpakket
Tzhaar water rune pack;Tzhaar waterrunenpakket
Twisted trousers (t3);Gedraaide broek (t3)
Tzhaar earth rune pack;Tzhaar Earth Rune-pakket
Tyrannical ring (i);Tirannieke ring (i)
Tzhaar-hur;Tzhaar-hur
Tyrannical ring;Tirannieke ring
Ugthanki & tomato;Oegthanki & tomaat
Tzrek-jad;Tzrek-jad
Tzhaar-ket-om (t);Tzhaar-ket-om (t)
Tzrek-zuk;Tzrek-zuk
Tzhaar-ket-em;Tzhaar-ket-em
Tzhaar-ket-om;Tzhaar-ket-om
Tzhaar-ket-om ornament kit;Tzhaar-ket-om-ornamentkit
Ugthanki dung;Oegthanki-mest
Ugthanki & onion;Ugthanki en ui
Ugthanki kebab;Ugthanki-kebab
Ultimate ironman platelegs;Ultieme Ironman-platelegs
Unblessed symbol;Ongezegend symbool
Ultimate ironman platebody;Ultieme Ironman platebody
Ugthanki meat;Ugthanki-vlees
Ultracompost;Ultracompost
Ultimate ironman helm;Ultieme Ironman-roer
Uncharged toxic trident;Ongeladen giftige drietand
Uncharged trident;Ongeladen drietand
Uncharged trident (e);Ongeladen drietand (e)
Uncharged toxic trident (e);Ongeladen giftige drietand (e)
Uncooked dragonfruit pie;Ongekookte drakenfruittaart
Uncooked mushroom pie;Ongekookte champignontaart
Uncooked curry;Ongekookte curry
Uncooked cake;Ongekookte taart
Uncooked berry pie;Ongekookte bessentaart
Uncooked meat pie;Ongekookte vleespastei
Uncooked apple pie;Ongekookte appeltaart
Uncooked botanical pie;Ongekookte botanische taart
Uncooked egg;Ongekookt ei
Uncleaned find;Ongereinigde vondst
Uncooked pizza;Ongekookte pizza
Uncut diamond;Ongeslepen diamant
Uncut opal;Ongesneden opaal
Uncooked stew;Ongekookte stoofpot
Uncut ruby;Ongesneden robijn
Uncut emerald;Ongeslepen smaragd
Uncut jade;Ongesneden jade
Uncut dragonstone;Ongesneden drakensteen
Uncut onyx;Ongesneden onyx
Uncut red topaz;Ongesneden rode topaas
Unfermented wine;Ongefermenteerde wijn
Uncut zenyte;Ongesneden zenyte
Unfinished batta;Onvoltooide batta
Undead chicken;Ondode kip
Undead twigs;Ondode twijgen
Unfinished blood potion;Onvoltooid bloeddrankje
Uncut sapphire;Ongeslepen saffier
Undead cow ribs;Ondode koeienribben
Unfinished bowl;Onvoltooide kom
Undead combat dummy;Ondode gevechtsdummy
Unfinished broad bolt pack;Onafgewerkt pakket met brede bouten
Unfired bowl;Ongebakken kom
Unfired pot lid;Ongebakken potdeksel
Unfinished broad bolts;Onafgewerkte brede bouten
Unfired pie dish;Ongebakken taartvorm
Unfinished crunchy;Onafgewerkt knapperig
Unfinished potion;Onvoltooid drankje
Unfired pot;Ongestookte pot
Unfinished cocktail;Onvoltooide cocktail
Unfired plant pot;Ongebakken plantenpot
Unholy book page set;Onheilige boekpaginaset
Unholy mould;Onheilige schimmel
Unholy book;Onheilig boek
Unidentified large fossil;Ongeïdentificeerd groot fossiel
Unidentified liquid;Onbekende vloeistof
Unicorn bone;Eenhoorn bot
Unholy blessing;Onheilige zegen
Unholy symbol;Onheilig symbool
Unicorn horn;Eenhoorn hoorn
Unicorn horn dust;Eenhoornhoornstof
Unknown fluid 1;Onbekende vloeistof 1
Unknown fluid 2;Onbekende vloeistof 2
Unknown print;Onbekende afdruk
Unknown fluid 4;Onbekende vloeistof 4
Unidentified rare fossil;Niet-geïdentificeerd zeldzaam fossiel
Unidentified minerals;Niet-geïdentificeerde mineralen
Unidentified medium fossil;Niet-geïdentificeerd middelgroot fossiel
Unidentified small fossil;Ongeïdentificeerd klein fossiel
Unknown fluid 5;Onbekende vloeistof 5
Unknown fluid 3;Onbekende vloeistof 3
Unpowered orb;Niet-aangedreven bol
Unstamped letter;Ongefrankeerde brief
Unlit bug lantern;Onverlichte insectenlantaarn
Unsired;Ongewenst
Unsanitary swill;Onhygiënische spoeling
Unsealed letter;Onverzegelde brief
Unpainted fake magic egg;Ongeverfd nep magisch ei
Unstrung comp bow;Onbespannen comp-strijkstok
Unlit torch;Onverlichte fakkel
Unpowered symbol;Niet-aangedreven symbool
Unstrung symbol;Onbespannen symbool
Urt salt;Urt zout
Unstrung lyre;Onbespannen lier
Unstrung light ballista;Onbespannen lichte ballista
Urium remains;Er blijft urium achter
Unusual fish;Ongebruikelijke vis
Uri's hat;Uri's hoed
Unstrung emblem;Ongespannen embleem
Unstrung heavy ballista;Onbespannen zware ballista
Unusual armour;Ongebruikelijk pantser
Useful rock;Nuttige steen
Vampyre dust;Vampierstof
Vampyre;Vampier
Useless key;Nutteloze sleutel
V sigil;V sigil
V sigil (e);V sigil (e)
Valve wheel;Ventiel wiel
Vanguard;Voorhoede
Used folder;Gebruikte map
V's shield;V's schild
Varlamore envoy;Varlamore-gezant
Varrock census records;Volkstellinggegevens van Varrock
Varrock armour 3;Varrock-pantser 3
Vanguard judgement;Voorhoede oordeel
Varrock armour 2;Varrock-pantser 2
Varrock armour 4;Varrock-pantser 4
Varmen's notes;Aantekeningen van Varmen
Varrock armour;Varrock-pantser
Vanilla pod;Vanillestokje
Varrock armour 1;Varrock-pantser 1
Vase;Vaas
Vase lid;Vaas deksel
Vegetable batta;Plantaardige batta
Vasa minirio;Vasa minirio
Vault key;Kluissleutel
Varrock teleport;Varrock teleporteert
Veg ball;Groenten bal
Venom gland;Gifklier
Venenatis spiderling;Venenatis spinnetje
Vase of water;Vaas met water
Verac's brassard 100;Verac's brassard 100
Verac's brassard 25;Verac's brassard 25
Verac's brassard;De brassard van Verac
Verac's brassard 50;Verac's brassard 50
Verac's flail 0;Verac's dorsvlegel 0
Verac's flail 100;Verac's dorsvlegel 100
Verac's brassard 0;Verac's brassard 0
