'perfect' gold bar;"täydellinen" kultaharkko
Unfinished bowl;Keskeneräinen kulho
Undead combat dummy;Undead taistelunukke
Unfinished broad bolt pack;Keskeneräinen leveä pulttipaketti
Unfired bowl;Polttamaton kulho
Unfired pot lid;Polttamaton kattilan kansi
Unfinished broad bolts;Keskeneräiset leveät pultit
Unfired pie dish;Polttamaton piirakkavuoka
Unfinished crunchy;Keskeneräinen rapea
Unfinished potion;Keskeneräinen juoma
Unfired pot;Polttamaton kattila
Unfinished cocktail;Keskeneräinen cocktail
Unfired plant pot;Polttamaton ruukku
Unholy book page set;Epäpyhä kirjan sivusarja
Unholy mould;Epäpyhä home
Unholy book;Epäpyhä kirja
Unidentified large fossil;Tunnistamaton suuri fossiili
Unidentified liquid;Tuntematon neste
Unicorn bone;Yksisarvisen luu
Unholy blessing;Epäpyhä siunaus
Unholy symbol;Epäpyhä symboli
Unicorn horn;Yksisarvisen sarvi
Unicorn horn dust;Yksisarvisen sarven pöly
Unknown fluid 1;Tuntematon neste 1
Unknown fluid 2;Tuntematon neste 2
Unknown print;Tuntematon printti
Unknown fluid 4;Tuntematon neste 4
Unidentified rare fossil;Tuntematon harvinainen fossiili
Unidentified minerals;Tuntemattomat mineraalit
Unidentified medium fossil;Tunnistamaton keskikokoinen fossiili
Unidentified small fossil;Tuntematon pieni fossiili
Unknown fluid 5;Tuntematon neste 5
Unknown fluid 3;Tuntematon neste 3
Unpowered orb;Virtaton pallo
Unstamped letter;Leimaamaton kirje
Unlit bug lantern;Valaamaton bug lyhty
Unsired;Unsired
Unsanitary swill;Epähygieeninen jätkä
Unsealed letter;Sinetöimätön kirje
Unpainted fake magic egg;Maalaamaton väärennetty taikamuna
Unstrung comp bow;Kiinnitön jousi
Unlit torch;Valaisematon taskulamppu
Unpowered symbol;Symboli ilman virtaa
Unstrung symbol;Kiinnitön symboli
Urt salt;Urt suolaa
Unstrung lyre;Kiinnitön lyyra
Unstrung light ballista;Kiinnitön kevyt ballista
Urium remains;Urium jää
Unusual fish;Epätavallinen kala
Uri's hat;Urin hattu
Unstrung emblem;Kiinnitön tunnus
Unstrung heavy ballista;Kiinnitön raskas ballista
Unusual armour;Epätavallinen panssari
Useful rock;Hyödyllinen rock
Vampyre dust;Vampyyri pöly
Vampyre;Vampyyri
Useless key;Käyttämätön avain
V sigil;V merkki
V sigil (e);V-merkki (e)
Valve wheel;Venttiilin pyörä
Vanguard;Vanguard
Used folder;Käytetty kansio
V's shield;V:n kilpi
Varlamore envoy;Varlamoren lähettiläs
Varrock census records;Varrockin väestönlaskennan kirjaa
Varrock armour 3;Varrock panssari 3
Vanguard judgement;Vanguardin tuomio
Varrock armour 2;Varrock panssari 2
Varrock armour 4;Varrock panssari 4
Varmen's notes;Varmenin muistiinpanoja
Varrock armour;Varrock panssari
Vanilla pod;Vaniljatanko
Varrock armour 1;Varrock panssari 1
Vase;Maljakko
Vase lid;Maljakon kansi
Vegetable batta;Kasvis batta
Vasa minirio;Vaasa minirio
Vault key;Holvin avain
Varrock teleport;Varrock teleportti
Veg ball;Vihannespallo
Venom gland;Myrkkyrauhanen
Venenatis spiderling;Venenatis hämähäkki
Vase of water;Maljakko vettä
Verac's brassard 100;Verac's brassard 100
Verac's brassard 25;Verac's brassard 25
Verac's brassard;Verac's brassard
Verac's brassard 50;Verac's brassard 50
Verac's flail 0;Veracin virhe 0
Verac's flail 100;Veracin pistemäärä 100
Verac's brassard 0;Verac's brassard 0
Verac's flail;Veracin pettymys
Verac's armour set;Veracin panssarisarja
Verac's brassard 75;Verac's brassard 75
Verac's helm 100;Veracin ruori 100
Verac's helm 75;Veracin ruori 75
Verac's plateskirt;Veracin levyhame
Verac's flail 25;Verac's flail 25
Verac's flail 75;Verac's flail 75
Verac's helm 25;Veracin ruori 25
Verac's helm 50;Veracin ruori 50
Verac's helm 0;Veracin ruori 0
Verac's helm;Veracin ruori
Verac's flail 50;Verac's flail 50
Verzik vitur - patient record;Verzik vitur - potilaskertomus
Verac's plateskirt 50;Veracin levyhame 50
Verac's plateskirt 0;Veracin levyhame 0
Verac's plateskirt 75;Veracin levyhame 75
Verzik's crystal shard;Verzikin kristallin sirpale
Vespina;Vespina
Vesta's chainbody;Vestan ketjurunko
Verac's plateskirt 100;Veracin levyhame 100
Vesta's blighted longsword;Vestan turmeltunut pitkä miekka
Verac's plateskirt 25;Veracin levyhame 25
Vesta's plateskirt;Vestan levyhame
Vesta's spear;Vestan keihäs
Vial of blood;Pullo verta
Vial of sorrow;Surupullo
Vesta's longsword;Vestan pitkä miekka
Vet'ion jr.;Vet'ion jr.
Vial of tears (1);Kyynelpullo (1)
Vesta's longsword (inactive);Vestan pitkä miekka (ei aktiivinen)
Vial of liquid;Injektiopullo nestettä
Vial;Injektiopullo
Victor's cape (50);Victorin viitta (50)
Vial of tears (empty);Kyynelpullo (tyhjä)
Victor's cape (1000);Victorin viitta (1000)
Vial of tears (2);Kyynelpullo (2)
Vial of water;Pullo vettä
Victor's cape (10);Victorin viitta (10)
Victor's cape (100);Victorin viitta (100)
Victor's cape (1);Victorin viitta (1)
Vial of tears (3);Kyynelpullo (3)
Vial of tears (full);Kyynelpullo (täynnä)
Viggora's chainmace;Viggoran ketjunuija
Vodka;Vodka
Villager sandals;Kyläläiset sandaalit
Villager robe;Kyläläisen viitta
Villager hat;Kyläläisen hattu
Victor's cape (500);Victorin viitta (500)
Vine seed;Viiniköynnöksen siemen
Villager armband;Kyläläisen käsivarsinauha
Voice potion;Äänijuoma
Viggora's chainmace (u);Viggoran ketjunuija (u)
Void knight top;Tyhjä ritaritoppi
Void knight mace;Tyhjä ritari nuija
Void knight robe (l);Tyhjä ritariviitta (l)
Void knight mace (broken);Void ritari nuija (rikki)
Void knight robe (broken);Tyhjä ritariviitta (rikki)
Void knight robe;Tyhjä ritariviitta
Void knight mace (l);Void ritari nuija (l)
Void knight gloves (l);Tyhjät ritarikäsineet (l)
Void knight gloves;Tyhjät ritarihanskat
Void knight gloves (broken);Tyhjät ritarikäsineet (rikki)
Void melee helm;Void lähitaistelu ruori
Void mage helm (l);Void mage helm (l)
Void knight top (l);Tyhjä ritaritoppi (l)
Void melee helm (broken);Void lähitaistelu ruori (rikki)
Void mage helm;Tyhjä mage-ruori
Void ranger helm;Tyhjä metsänvartijan ruori
Void ranger helm (broken);Tyhjä metsänvartijan ruori (rikki)
Void melee helm (l);Mitätön lähitaisteluruori (l)
Void mage helm (broken);Void mage -ruori (rikki)
Void knight top (broken);Tyhjä ritaritoppi (rikki)
Void ranger helm (l);Tyhjä metsänvartijan ruori (l)
Void seal(5);Tyhjä sinetti (5)
Void seal(1);Tyhjä sinetti (1)
Void seal(2);Tyhjä sinetti (2)
Void seal(3);Tyhjä sinetti (3)
Void seal(8);Tyhjä sinetti (8)
Void seal(7);Tyhjä sinetti (7)
Void seal(4);Tyhjä sinetti (4)
Volatile mineral;Haihtuva mineraali
Void seal(6);Tyhjä sinetti (6)
Volcanic mine teleport;Vulkaaninen kaivos teleportti
Volcanic sulphur;Vulkaaninen rikki
Volcanic abyssal whip;Vulkaaninen syvyyspiiska
Volatile orb;Haihtuva pallo
Volcanic habitat;Vulkaaninen elinympäristö
Volcanic theme;Vulkaaninen teema
Volcanic ash;Vulkaaninen tuhka
Volencia moss;Volencian sammal
Volatile nightmare staff;Haihtuva painajainen henkilökunta
Volcanic whip mix;Vulkaaninen piiskasekoitus
Vyre;Vyre
Vorkath's stuffed head;Vorkathin täytetty pää
Vulture wing;Korppikotkan siipi
Vyre noble corset;Vyre jalo korsetti
Vyre noble dress top;Vyre noble toppi
Vorki;Vorki
Vyre noble blazer;Vyre jalo bleiseri
Vyre noble coat tails;Vyre noble takin häntä
Vorkath's head;Vorkathin pää
Vyre noble dress bottom;Vyre noble mekon alaosa
Vyre noble shoes (unscented);Vyre noble -kengät (hajustamattomat)
Vyrewatch legs;Vyrewatch jalat
Vyre noble skirt;Vyre jalo hame
Vyre noble vest;Vyre jaloliivi
Vyre noble top;Vyre jalo toppi
Vyre noble top (unscented);Vyre noble toppi (hajuton)
Vyre noble legs;Vyre jalot jalat
Vyre noble shoes;Vyre noble kengät
Vyre noble legs (unscented);Vyre jalot jalat (hajustamattomat)
Vyre noble pants;Vyre noble housut
Vyrewatch shoes;Vyrewatch kengät
Ward upgrade kit;Osaston päivityssarja
Wampum belt;Wampum vyö
War blessing;Sodan siunaus
War ship;Sota-alus
Warhammer;Warhammer
Waking sleep vial;Heräävä unipullo
Vyrewatch top;Vyrewatch toppi
Warm gloves;Lämpimät käsineet
Wand;Sauva
Warrior woman;Soturi nainen
Warrior guild token;Soturikillan merkki
Warrior path starter kit;Warrior polun aloitussarja
Warrior ring (i);Soturisormus (i)
Washing bowl;Pesukulho
Warrant;Todistus
Warrior helm;Soturin ruori
Warrior ring;Soturisormus
Warm key;Lämmin avain
Warriors' contract;Warriorsin sopimus
Watchtower teleport;Vartiotorni teleporttaa
Watch;Katsella
Water orb;Vesipallo
Water container;Vesisäiliö
Water talisman;Vesi talisman
Water battlestaff;Vesitaisteluhenkilökunta
Water rune;Vesirunko
Watchman;Vartija
Water rune (nz);Vesiriimu (nz)
Water rune pack;Vesiriimupaketti
Watering can;Kastelukannu
Watering can(2);Kastelukannu (2)
Water-filled vial;Vedellä täytetty injektiopullo
Watering can(3);Kastelukannu (3)
Water tiara;Vesi tiara
Water-filled gourd vial;Vedellä täytetty kurpitsapullo
Watering can(4);Kastelukannu (4)
Water-filled vial pack;Vedellä täytetty injektiopullopakkaus
Watering can(1);Kastelukannu (1)
Waterbirth teleport;Vesisynnytys teleportti
Watermelon seed;Vesimelonin siemen
Watering can(6);Kastelukannu (6)
Watering can(8);Kastelukannu (8)
Waterskin(1);Vesinahka (1)
Watering can(5);Kastelukannu (5)
Watermelon slice;Vesimeloni viipale
Waterskin(2);Vesinahka (2)
Watermelon;Vesimeloni
Waterskin(0);Vesinahka (0)
Watering can(7);Kastelukannu (7)
Waxwood log;Vahapuuhirsi
Waterskin(4);Vesinahka (4)
Watson teleport;Watson teleporttaa
Weapon poison(+);Asemyrkky (+)
Wax;Vaha
Waxwood bed;Vahapuusänky
Waterskin(3);Vesinahka (3)
Weapon frame;Aseen runko
Waxwood plank;Vahapuu lankku
Weapon poison;Aseen myrkkyä
Weapon poison+ (unf);Asemyrkky+ (unf)
Weathervane pillar;Tuuliviiri pilari
Weird gloop;Kummallinen pätkä
Weapons rack;Asetelineet
Weather report;Säätiedotus
Weapon poison(++);Asemyrkky (++)
Weeds;Rikkaruohot
Weapon poison++ (unf);Asemyrkky++ (unf)
Weapon store key;Asekaupan avain
Weather forecast;Sääennuste
Wester banana;Länsi banaani
Western banner;Länsimainen banneri
Wester papaya;Länsipapaija
Wester lemon;Wester sitruuna
Weiss fire notes;Weissin palomuistiinpanot
Werewolf bone;Ihmissuden luu
Wester spices;Wester mausteet
Wester chocolate;Länsi suklaata
West ardougne teleport;West ardougne teleportti
Wester fish;Länsi kala
Whetstone;Hiomakivi
Western banner 4;Länsibanneri 4
Western banner 1;Länsi-banneri 1
White 2h sword;Valkoinen 2h miekka
Whisky;Viski
White bead;Valkoinen helmi
Western banner 2;Länsibanneri 2
Western banner 3;Länsibanneri 3
White apron;Valkoinen esiliina
White battleaxe;Valkoinen taistelukirves
White beret;Valkoinen baretti
White candy;Valkoinen karkki
White cavalier;Valkoinen kavalieri
White bed sheets;Valkoiset lakanat
White boots;Valkoiset saappaat
White boater;Valkoinen veneilijä
White cog;Valkoinen hammaspyörä
White chainbody;Valkoinen ketjurunko
White berries;Valkoisia marjoja
White claws;Valkoiset kynnet
White dagger(p+);Valkoinen tikari(p+)
White dagger;Valkoinen tikari
White dagger(p++);Valkoinen tikari (p++)
White dark bow paint;Valkoinen tumma rusettimaali
White dagger(p);Valkoinen tikari (p)
White firelighter;Valkoinen sytytin
White elegant skirt;Valkoinen tyylikäs hame
White elegant blouse;Valkoinen tyylikäs pusero
White destabiliser;Valkoinen destabilisaattori
White flowers;Valkoiset kukat
White longsword;Valkoinen pitkä miekka
White mace;Valkoinen nuija
White headband;Valkoinen sanka
White gloves;Valkoiset hanskat
White lily;Valkoinen lilja
White lily seed;Valkoinen liljan siemen
White full helm;Valkoinen täysi ruori
White kiteshield;Valkoinen leijakilpi
White halberd;Valkoinen alabardi
White logs;Valkoiset puut
White pearl seed;Valkoinen helmen siemen
White pearl;Valkoinen helmi
White partyhat;Valkoinen juhlahattu
White magic staff;Valkoisen magian henkilökunta
White scimitar;Valkoinen leikkuri
White med helm;Valkoinen med ruori
White platelegs;Valkoiset levyjalat
White platebody;Valkoinen levyrunko
White plateskirt;Valkoinen levyhame
White rose seed;Valkoisen ruusun siemen
White tree shoot;Valkoinen puun verso
White unicorn mask;Valkoinen yksisarvinen naamio
White tree shoot (w);Valkoinen puun verso (w)
White sweets;Valkoisia makeisia
White warhammer;Valkoinen sotavasara
White sq shield;Valkoinen neliökilpi
White tree fruit;Valkoinen puun hedelmä
White sword;Valkoinen miekka
White toy horsey;Valkoinen hevosen lelu
White tree sapling;Valkoisen puun taimi
Wilderness cape;Erämaan niemi
Whiteberry seed;Valkomarjan siemen
Wig;Peruukki
Wildblood hops;Villiverinen humala
Wilderness crabs teleport;Erämaaraput teleporttuvat
Wildblood seed;Villiverinen siemen
Wilderness sword;Erämaan miekka
Wild pie;Villi piirakka
Wilderness champion amulet;Erämaamestari amuletti
Wilderness sword 1;Erämaan miekka 1
Willow blackjack;Willow blackjack
Wilderness sword 2;Erämaan miekka 2
Wilderness sword 4;Erämaan miekka 4
Willow branch;Pajun oksa
Willow bird house;Willow lintu talo
Willow blackjack(d);Willow blackjack(d)
Willow comp bow;Willow comp jousi
Wilderness sword 3;Erämaan miekka 3
Will and testament;Testamentti ja testamentti
Willow blackjack(o);Willow blackjack(o)
Willow roots;Pajun juuret
Willow sapling;Pajun taimi
Willow shield;Paju kilpi
Willow longbow (u);Willow pitkäjousi (u)
Willow seed;Pajun siemen
Willow seedling;Pajun taimi
Willow longbow;Willow pitkäjousi
Willow logs;Pajutukit
Willow seedling (w);Pajun taimi (w)
Willow pyre logs;Pajupyrstöhirsiä
Windswept logs;Tuulenpyyhkeitä tukkeja
Willow tree;Paju puu
Wily hellcat;Viisas helvetinkissa
Willow shortbow;Willow shortbow
Willow shortbow (u);Willow shortbow (u)
Winter garden;Talvipuutarha
Willow stock;Pajuvarasto
Windchimes;Tuulikellot
Wily cat;Viisas kissa
Wine of zamorak;Zamorakin viini
Witch's cat;Noidan kissa
Witchwood icon;Witchwood-kuvake
Winter sq'irk;Talvi sq'irk
Wintertodt parable;Wintertodtin vertaus
Wise old man's santa hat;Viisaan vanhan miehen joulupukin hattu
Winter sq'irkjuice;Talvi sq'irkjuice
Wise old man's teleport tablet;Viisaan vanhan miehen teleporttitabletti
Witch's brew;Noidan juoma
Wintumber tree;Talvipuu
Wizard blizzard;Ohjattu lumimyrsky
Wizard's head;Velhon pää
Woad seed;Puun siemen
Wizard's mind bomb;Velhon mielipommi
Wizard path starter kit;Ohjatun polun aloitussarja
Wolf bones;Suden luut
Woad leaf;Puun lehti
Wizard boots;Wizard saappaat
Wolf bone;Suden luu
Wizard hat;Velho hattu
Wolf bonemeal;Suden luujauho
Wood camo top;Puinen camo toppi
Wood kitchen table;Puinen keittiön pöytä
Wolfbone arrowtips;Wolfbone nuolenpäät
Wood dining table;Puinen ruokapöytä
Wolf whistle;Suden pilli
Wolf mask;Susi naamio
Wolfbane;Wolfbane
Woodcut. cape(t);Puupiirros. viitta (t)
Wolf cloak;Susi viitta
Wood camo legs;Puiset camo-jalat
Wooden bed;Puinen sänky
Wooden bookcase;Puinen kirjahylly
Woodcutting hood;Puunleikkaushuppu
Wooden bench;Puinen penkki
Wooden chair;Puinen tuoli
Woodcutting tome;Puuleikkauskirja
Wooden cat;Puinen kissa
Wooden cabinet;Puinen kaappi
Woodcutting cape;Puunleikkausviitta
Wooden crate;Puinen laatikko
Wooden fence;Puinen aita
Wooden larder;Puinen ruokakaappi
Wooden cupboard;Puinen kaappi
Wooden drawer;Puinen laatikko
Wooden shelves 3;Puiset hyllyt 3
Wooden shelves 1;Puiset hyllyt 1
Wooden shelves 2;Puiset hyllyt 2
Wooden shelves;Puiset hyllyt
Wooden disk;Puinen levy
Wooden dresser;Puinen lipasto
Wooden sword;Puinen miekka
Wooden spoon;Puinen lusikka
Wooden workbench;Puinen työpöytä
Wooden stock;Puinen varasto
Wooden stool;Puinen jakkara
Wooden shield (g);Puinen kilpi (g)
Wooden shield;Puinen kilpi
Wooden table;Puinen pöytä
Wooden torches;Puiset taskulamput
Wooden wardrobe;Puinen vaatekaappi
Worm hole;Madon reikä
Worms;Matoja
Worm crunchies;Mato rapsuttaa
Woolly scarf;Villahuivi
Workshop;Työpaja
Worn key;Kulunut avain
Worm batta;Mato batta
Wool;Villa
Woolly hat;Pipo
Worm;Mato
Wrath rune;Viha rune
Wrench;Jakoavain
Wyrm;Wyrm
Wrought iron key;Takorauta-avain
Wrath talisman;Vihan talisman
Wyrm bonemeal;Wyrm luujauho
Wrath tiara;Viha tiara
Woven top;Kudottu toppi
Wrapped oomlie;Kääritty oomlie
Wyrm bones;Wyrm luut
Xeric's aid (+)(1);Xericin apu (+)(1)
Xeric's aid (-)(1);Xericin apu (-)(1)
Xeric's aid (+)(4);Xericin apu (+)(4)
Wyvern bonemeal;Wyvern luujauho
Xeric's aid (+)(2);Xericin apu (+)(2)
Wyvern visage;Wyvern visage
Xeric's aid (+)(3);Xericin apu (+)(3)
Xeric's aid (-)(3);Xericin apu (-)(3)
Wyvern bones;Wyvernin luut
Xeric's aid (-)(2);Xericin apu (-)(2)
Xeric's aid (3);Xericin apu (3)
Xeric's aid (-)(4);Xericin apu (-)(4)
Xeric's guard;Xericin vartija
Xeric's aid (1);Xericin apu (1)
Xeric's general;Xericin kenraali
Xeric's talisman;Xericin talisman
Xeric's sentinel;Xericin vartija
Xeric's aid (4);Xericin apu (4)
Xeric's champion;Xericin mestari
Xeric's aid (2);Xericin apu (2)
Yak-hide armour;Jakkipiiloinen panssari
Xerician robe;Xerician kaapu
Yak-hide;Jakki-piilota
Xerician top;Xerician toppi
Xerician fabric;Xerician kangas
Yanillian hops;Yanillian humala
Xeric's talisman (inert);Xericin talisman (inertti)
Yanille teleport;Yanille teleporttaa
Xeric's warrior;Xericin soturi
Xerician hat;Xerician hattu
Yellow crystal;Keltainen kristalli
Yellow bead;Keltainen helmi
Yellow boots;Keltaiset saappaat
Yellow dark bow paint;Keltainen tumma rusetti
Yellow dye;Keltainen väriaine
Yellow destabiliser;Keltainen destabilisaattori
Yellow cape;Keltainen viitta
Yellow dye bellows;Keltainen väriainepalje
Yellow balloon;Keltainen ilmapallo
Yanillian seed;Yanillian siemen
Yellow robe bottoms;Keltaiset alushousut
Yellow goblin mail;Keltainen goblin-posti
Yellow egg;Keltainen muna
Yellow gloves;Keltaiset hanskat
Yellow robe top;Keltainen kaapullinen toppi
Yellow rainbow strand;Keltainen sateenkaarinauha
Yellow hat;Keltainen hattu
Yellow feather;Keltainen höyhen
Yellow flowers;Keltaiset kukat
Yellow partyhat;Keltainen juhlahattu
Yellow spice (1);Keltainen mauste (1)
Yellow spice (2);Keltainen mauste (2)
Yew longbow;Marjakuusi pitkäjousi
Yew bird house;Marjakuusi lintutalo
Yew logs;Marjapuutakki
Yew longbow (u);marjakuusi pitkäjousi (u)
Yellow spice (4);Keltainen mauste (4)
Yellow toad;Keltainen rupikonna
Yellow spice (3);Keltainen mauste (3)
Yew comp bow;Yew comp-jousi
Yew shortbow;Marjakuusi shortbow
Yew shield;Marjakuusi kilpi
Yew sapling;Marjakuusi taimi
Yew seedling;Marjakukan taimi
Yew pyre logs;Marjakuusi hirsipuut
Yew seed;Marjakuusi siemen
Yew stock;Marjakuusi varasto
Yew seedling (w);Marjakujan taimi (w)
Yew roots;Marjakuusi juuret
Yew shortbow (u);marjakuusi pikkujousi (u)
Z sigil;Z-sigil
Yin yang amulet;Yin yang amuletti
Zadimus corpse;Zadimuksen ruumis
Youngllef;Youngllef
Yo-yo;Jojoo
Young impling jar;Nuori impling jar
Yommi totem;Yommi toteemi
Yew tree;Marjakuu
Yommi tree seeds;Yommi-puun siemenet
Zaff's instructions;Zaffin ohjeita
Zamorak bracers;Zamorak olkaimet
Zamorak brew(1);Zamorak-olut (1)
Zamorak brew(3);Zamorak-olut (3)
Zamorak cape;Zamorakin niemi
Zamorak banner;Zamorak-banneri
Zamorak brew(4);Zamorak-olut (4)
Zamorak armour set (sk);Zamorak-panssarisarja (sk)
Zamorak armour set (lg);Zamorak panssarisarja (lg)
Zalcano shard;Zalcanon sirpale
Zamorak brew(2);Zamorak-olut (2)
Zamorak d'hide shield;Zamorak d'hide shield
Zamorak crozier;Zamorak crozier
Zamorak dragonhide set;Zamorak lohikäärmesarja
Zamorak coif;Zamorak coif
Zamorak godsword;Zamorak jumalamiekka
Zamorak chaps;Zamorak pojat
Zamorak d'hide body;Zamorak d'piilota ruumis
Zamorak d'hide boots;Zamorak d'hide saappaat
Zamorak full helm;Zamorak täysi ruori
Zamorak cloak;Zamorak viitta
Zamorak halo (broken);Zamorak halo (rikki)
Zamorak kiteshield;Zamorak leijakilpi
Zamorak godsword (or);Zamorak jumalamiekka (tai)
Zamorak max hood;Zamorak max huppu
Zamorak hilt;Zamorakin kädensija
Zamorak icon;Zamorak-kuvake
Zamorak halo;Zamorak halo
Zamorak max cape;Zamorak max viitta
Zamorak godsword ornament kit;Zamorak jumalanmiekan koristesarja
Zamorak halo (l);Zamorak halo (l)
Zamorak mjolnir;Zamorak mjolnir
Zamorak mix(1);Zamorak-sekoitus (1)
Zamorak monk top;Zamorak munkkitoppi
Zamorak page 3;Zamorak sivu 3
Zamorak page 1;Zamorak sivu 1
Zamorak page 2;Zamorak sivu 2
Zamorak mix(2);Zamorak-sekoitus (2)
Zamorak mitre;Zamorak jiiri
Zamorak monk bottom;Zamorak munkin pohja
Zamorak page 4;Zamorak sivu 4
Zamorak symbol;Zamorakin symboli
Zamorak stole;Zamorak varasti
Zamorak robe legs;Zamorak-viitan jalat
Zamorak robe top;Zamorak kaapullinen toppi
